0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,2,0,1,1,0,0,0,0
0,0,0,0,0,1,2,1,0,0,2,0,0,3,0,1,3,0,0,0,0,5,0,0,0,0,0,0
2,0,1,0,1,0,1,0,0,2,0,2,1,0,2,0,0,0,2,1,0,0,4,0,0,0,0,0
0,0,2,2,0,0,4,1,0,2,0,2,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0
1,0,0,0,2,0,5,90,87,91,93,180,254,255,255,255,252,255,179,16,0,1,0,3,0,0,0,0
0,0,0,5,0,1,133,254,254,254,251,255,254,249,255,251,253,252,253,167,0,0,2,0,0,0,0,0
0,3,2,0,0,40,208,254,254,254,248,254,253,189,145,147,187,252,253,228,51,1,1,0,0,0,0,0
1,0,0,1,1,90,255,253,251,255,227,127,59,20,0,0,23,75,255,253,120,1,0,0,0,0,0,0
0,0,0,3,2,44,218,255,157,131,22,0,1,0,0,0,0,25,255,249,122,2,0,0,0,0,0,0
0,0,1,0,0,2,32,37,8,0,0,1,0,1,3,1,21,177,247,255,207,20,2,1,0,0,0,0
1,1,2,1,0,2,0,1,0,0,0,3,0,0,2,0,98,253,253,251,125,0,1,0,0,0,0,0
0,0,0,2,0,0,4,0,2,0,1,0,4,0,0,11,240,254,253,213,13,0,0,2,0,0,0,0
2,3,1,0,4,0,0,0,0,0,3,0,1,0,0,9,253,252,253,216,0,0,1,0,0,0,0,0
0,2,0,0,1,1,0,3,4,0,0,2,0,2,27,194,252,254,252,210,1,5,0,1,0,0,0,0
2,3,0,2,0,0,2,0,2,0,2,0,1,0,191,255,252,255,248,100,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,0,3,0,57,97,99,251,252,253,243,86,0,2,1,0,0,0,0,0,0
2,0,1,1,1,0,2,1,19,25,163,224,253,251,255,252,254,215,0,1,0,0,3,1,0,2,0,0
0,0,0,0,1,3,0,50,225,251,253,254,255,249,253,255,254,60,2,2,0,2,0,0,2,0,0,3
0,5,0,1,0,1,148,223,253,253,255,247,254,255,250,252,253,198,3,0,0,0,5,0,0,4,0,0
3,0,2,1,0,46,216,253,252,254,253,255,254,250,255,253,255,238,70,1,3,29,54,3,0,0,0,4
1,0,4,0,0,94,253,255,255,251,253,252,198,196,195,235,253,255,240,193,59,205,234,50,1,4,0,0
0,0,0,4,0,41,210,251,255,252,223,108,10,2,0,77,252,254,251,249,255,254,253,181,0,0,1,0
0,2,0,0,1,0,10,17,14,14,13,0,2,0,5,0,81,182,255,255,246,254,252,249,85,3,0,3
0,2,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,11,90,113,255,254,254,253,90,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
