0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,254,116,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,250,160,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,238,254,171,0,4,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,77,197,250,251,144,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,191,251,253,142,0,0,0,3,1,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0,3,0,0,81,254,254,223,40,0,4,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,10,166,253,251,202,5,3,0,1,4,0,0,0,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,58,251,255,253,85,4,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,1,8,183,249,252,227,48,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,2,23,201,255,252,105,4,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0,56,255,250,255,92,0,5,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,182,252,254,187,25,3,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,69,240,250,251,59,9,0,0,2,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,160,254,254,172,0,0,0,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,4,59,181,251,236,114,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,178,255,249,164,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,79,255,247,222,38,0,3,0,1,0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,112,253,252,178,21,0,0,0,2,0,2,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,138,254,243,48,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,1,63,251,170,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
